FRONT_LINE_VERSION=00000

FRONT_LINE_VERSION=00000

MAP_RIGHT=172000
MAP_TOP=152000



AF01,aerodromo--E13,42405.54,121426.16,2,-E,13,2,0:2
AF01:H1,41862.54,121971.16,
AF01:H2,42949.94,120880.39,
AF01:P1,41739.27,120877.47,41739.27,120977.26,360,
AF01:P2,41758.83,120988.05,41832.10,120988.05,90,
AF01:P3,42854.25,121222.76,42956.32,121118.14,135,
AF01:P4,42011.13,121955.12,42034.10,121975.03,409,
AF01:P5,42253.56,121863.26,42281.11,121836.21,134,
AF01:P6,42007.05,120991.06,42007.05,120949.21,180,
AF01:P7,42007.05,120929.81,42006.54,120868.57,180,
AF01:P8,42973.16,121083.94,42927.74,121041.58,226,
#--- End AF01 (aerodromo--E13)

AF02,aerodromo--D03,35593.27,26521.1,2,-D,03,2,0:2
AF02:H1,36281.27,26918.10,
AF02:H2,34904.29,26123.10,
AF02:P1,34864.58,26439.90,34822.19,26502.52,325,
AF02:P2,35186.39,26580.56,35097.74,26527.57,239,
AF02:P3,35300.08,26729.90,35396.42,26700.04,107,
AF02:P4,36262.59,26790.60,36304.02,26718.34,150,
AF02:P5,36286.68,26675.95,36137.34,26595.02,241,
AF02:P6,35398.35,26274.18,35302.97,26219.26,240,
#--- End AF02 (aerodromo--D03)

AF03,aerodromo--F01,54684.24,7655.19,2,-F,01,2,0:2
AF03:H1,53864.24,7655.19,
AF03:H2,55504.24,7655.19,
AF03:P1,54610.66,7509.96,54670.19,7450.74,134,
AF03:P2,54619.59,7299.85,54600.25,7319.19,315,
AF03:P3,54850.24,8030.18,54919.88,7960.54,135,
AF03:P4,54969.88,7869.77,54880.30,7780.79,225,
AF03:P5,54086.56,7834.22,54087.85,7955.86,360,
AF03:P6,54500.64,8058.09,54499.35,8001.15,181,
AF03:P7,54798.26,7774.70,54715.45,7849.75,312,
#--- End AF03 (aerodromo--F01)

AF04,aerodromo--O07,145087.92,62685.71,2,-O,07,2,0:1
AF04:H1,145855.92,62685.71,
AF04:H2,144319.16,62685.71,
AF04:P1,145500.07,62899.66,145698.49,62901.14,449,
AF04:P2,145729.25,62859.62,145729.25,62788.10,180,
AF04:P3,145473.18,62788.87,145473.18,62806.56,360,
AF04:P4,144711.13,62591.25,144711.13,62540.49,180,
AF04:P5,144402.00,62428.99,144402.77,62578.17,360,
AF04:P6,144499.66,62798.87,144598.86,62799.64,449,
#--- End AF04 (aerodromo--O07)

AF05,aerodromo--O12,145830.69,115875.9,2,-O,12,2,0:1
AF05:H1,146406.69,116451.90,
AF05:H2,145254.11,115299.32,
AF05:P1,145315.37,115730.87,145281.24,115764.46,314,
AF05:P2,145512.58,116099.82,145567.84,116047.27,133,
AF05:P3,145513.12,115758.50,145448.11,115691.32,224,
AF05:P4,145699.50,115500.07,145700.04,115599.22,360,
AF05:P5,146040.82,115810.51,145973.64,115876.61,314,
AF05:P6,146287.33,115853.31,146185.48,115749.29,224,
AF05:P7,146208.77,115983.34,146280.83,115914.53,133,
AF05:P8,145799.73,116147.50,145898.87,116146.96,90,
#--- End AF05 (aerodromo--O12)





SEC-A01,sector--A01,5000,5000,30,1:2
SEC-A02,sector--A02,5000,15000,30,1:2
SEC-A03,sector--A03,5000,25000,30,1:3
SEC-A04,sector--A04,5000,35000,30,1:3
SEC-A05,sector--A05,5000,45000,30,1:3
SEC-A06,sector--A06,5000,55000,30,1:3
SEC-A07,sector--A07,5000,65000,30,1:3
SEC-A08,sector--A08,5000,75000,30,1:3
SEC-A09,sector--A09,5000,85000,30,1:2
SEC-A10,sector--A10,5000,95000,30,1:3
SEC-A11,sector--A11,5000,105000,30,1:2
SEC-A12,sector--A12,5000,115000,30,1:2
SEC-A13,sector--A13,5000,125000,30,1:2
SEC-A14,sector--A14,5000,135000,30,1:2
SEC-A15,sector--A15,5000,145000,30,1:2
SEC-B01,sector--B01,15000,5000,30,1:2
SEC-B02,sector--B02,15000,15000,30,1:2
SEC-B03,sector--B03,15000,25000,30,1:2
SEC-B04,sector--B04,15000,35000,30,1:2
SEC-B05,sector--B05,15000,45000,30,1:2
SEC-B06,sector--B06,15000,55000,30,1:2
SEC-B07,sector--B07,15000,65000,30,1:3
SEC-B08,sector--B08,15000,75000,30,1:2
SEC-B09,sector--B09,15000,85000,30,1:2
SEC-B10,sector--B10,15000,95000,30,1:2
SEC-B11,sector--B11,15000,105000,30,1:3
SEC-B12,sector--B12,15000,115000,30,1:2
SEC-B13,sector--B13,15000,125000,30,1:2
SEC-B14,sector--B14,15000,135000,30,1:2
SEC-B15,sector--B15,15000,145000,30,1:2
SEC-C01,sector--C01,25000,5000,30,1:2
SEC-C02,sector--C02,25000,15000,30,1:2
SEC-C03,sector--C03,25000,25000,30,1:2
SEC-C04,sector--C04,25000,35000,30,1:2
SEC-C05,sector--C05,25000,45000,30,1:2
SEC-C06,sector--C06,25000,55000,30,1:3
SEC-C07,sector--C07,25000,65000,30,1:2
SEC-C08,sector--C08,25000,75000,30,1:2
SEC-C09,sector--C09,25000,85000,30,1:2
SEC-C10,sector--C10,25000,95000,30,1:2
SEC-C11,sector--C11,25000,105000,30,1:2
SEC-C12,sector--C12,25000,115000,30,1:2
SEC-C13,sector--C13,25000,125000,30,1:2
SEC-C14,sector--C14,25000,135000,30,1:2
SEC-C15,sector--C15,25000,145000,30,1:2
SEC-D01,sector--D01,35000,5000,30,1:2
SEC-D02,sector--D02,35000,15000,30,1:2
SEC-D03,sector--D03,35000,25000,30,1:2
SEC-D04,sector--D04,35000,35000,30,1:2
SEC-D05,sector--D05,35000,45000,30,1:2
SEC-D06,sector--D06,35000,55000,30,1:2
SEC-D07,sector--D07,35000,65000,30,1:2
SEC-D08,sector--D08,35000,75000,30,1:2
SEC-D09,sector--D09,35000,85000,30,1:2
SEC-D10,sector--D10,35000,95000,30,1:2
SEC-D11,sector--D11,35000,105000,30,1:2
SEC-D12,sector--D12,35000,115000,30,1:2
SEC-D13,sector--D13,35000,125000,30,1:2
SEC-D14,sector--D14,35000,135000,30,1:2
SEC-D15,sector--D15,35000,145000,30,1:2
SEC-E01,sector--E01,45000,5000,30,1:2
SEC-E02,sector--E02,45000,15000,30,1:2
