FRONT_LINE_VERSION=00787

MAP_RIGHT=303000
MAP_TOP=154000

AF01,AirField-AA15,3950.29,140485.95,2,-AA,15,2,0:2
AF01:H1,3325.29,140781.95,
AF01:H2,4576.07,140188.54,
AF01:P1,3523.25,140275.22,3602.70,140371.49,399,
AF01:P2,3506.19,140135.06,3549.11,140094.71,133,
AF01:P3,4148.11,140485.09,4253.20,140432.86,116,
AF01:P4,3679.07,140862.51,3709.30,140952.13,378,
#--- End AF01 (aerodromo--AA15)

AF02,AirField-AA14,9101.64,136507.76,2,-AA,14,2,0:2
AF02:H1,9049.64,137114.76,
AF02:H2,9155.44,135900.49,
AF02:P1,9039.99,136462.15,8980.86,136339.78,205,
AF02:P2,9004.24,136192.66,9048.24,136170.66,116,
AF02:P3,9120.69,136941.93,9128.94,136859.43,174,
#--- End AF02 (aerodromo--AA14)

AF03,AirField-AB14,17971.64,136027.42,2,-AB,14,2,0:2
AF03:H1,18554.64,136430.42,
AF03:H2,17387.75,135624.17,
AF03:P1,18070.24,136247.48,18148.68,136296.57,417,
AF03:P2,18193.26,136493.52,18244.05,136536.40,409,
AF03:P3,18121.59,136043.71,18186.48,136088.85,415,
AF03:P4,17680.86,135736.72,17744.63,135785.82,412,
#--- End AF03 (aerodromo--AB14)

AF04,AirField-AA13,8671.41,127249.87,2,-AA,13,2,0:2
AF04:H1,8211.41,127906.87,
AF04:H2,9131.52,126591.63,
AF04:P1,8890.54,127135.03,8938.27,127064.16,146,
AF04:P2,8542.92,127531.34,8601.26,127441.19,147,
AF04:P3,8835.10,126742.56,8885.72,126670.94,144,
AF04:P4,8342.81,127475.62,8407.49,127380.25,145,
#--- End AF04 (aerodromo--AA13)

AF05,AirField-AB12,15381.44,117540.53,2,-AB,12,2,0:2
AF05:H1,14585.44,117473.53,
AF05:H2,16179.33,117609.29,
AF05:P1,15340.22,117460.46,15385.06,117440.70,113,
AF05:P2,15426.61,117418.92,15461.32,117400.17,118,
AF05:P3,15598.88,117440.96,15618.13,117477.18,387,
AF05:P4,15748.60,117725.20,15794.20,117728.75,445,
AF05:P5,15841.07,117730.77,15880.33,117732.29,447,
#--- End AF05 (aerodromo--AB12)

AF06,AirField-AB10,14387.56,97185.94,2,-AB,10,2,0:2
AF06:H1,13943.56,97830.94,
AF06:H2,14833.10,96540.56,
AF06:P1,14591.01,97096.37,14614.43,97065.13,143,
AF06:P2,14628.74,97046.92,14645.85,97024.05,143,
AF06:P3,14251.35,97237.86,14275.03,97203.91,145,
AF06:P4,14337.40,97106.81,14375.29,97063.40,138,
#--- End AF06 (aerodromo--AB10)

AF07,AirField-AB08,16319.78,78814.11,2,-AB,08,2,0:2
AF07:H1,15491.78,78815.11,
AF07:H2,17148.35,78811.98,
AF07:P1,16391.33,78676.96,16453.92,78681.77,445,
AF07:P2,16218.01,78756.83,16245.80,78739.54,121,
AF07:P3,16309.92,78688.34,16340.12,78666.67,125,
AF07:P4,16773.79,78853.16,16784.77,78853.16,90,
#--- End AF07 (aerodromo--AB08)

AF08,AirField-AE06,41276.29,59258.71,2,-AE,06,2,13:2
AF08:H1,40616.29,58801.71,
AF08:H2,41936.55,59717.35,
AF08:P1,41338.78,59455.46,41380.30,59485.37,414,
AF08:P2,41406.85,59503.16,41448.88,59533.33,414,
AF08:P3,40867.79,58899.21,40902.57,58928.64,409,
AF08:P4,40953.41,58954.05,40988.19,58979.47,413,
#--- End AF08 (aerodromo--AE06)

AF09,AirField-AE05,47063.86,44104.19,2,-AE,05,2,0:2
AF09:H1,46075.86,44286.19,
AF09:H2,48052.60,43920.57,
AF09:P1,46825.83,44404.56,46908.21,44387.66,101,
AF09:P2,46462.93,44581.65,46460.23,44560.05,187,
AF09:P3,46298.25,44454.76,46318.95,44442.17,121,
AF09:P4,46334.24,44134.41,46336.49,44091.22,177,
AF09:P5,47819.48,43860.85,47838.82,43886.05,397,
AF09:P6,47572.46,43966.14,47608.01,43958.04,102,
AF09:P7,47355.40,44290.19,47449.05,44272.73,100,
#--- End AF09 (aerodromo--AE05)

AF10,AirField-AG06,69498.03,58170.14,2,-AG,06,2,9.5:2
AF10:H1,68433.03,58560.14,
AF10:H2,70564.78,57778.77,
