# PlanesAT Lvov_1941, Junio y Julio, para la DangerZone v. 2.0
# según tablas de Yogy

#---Inventario Rojo (aviones iniciales, restantes, aparecidos)

IR,IL-2M_Early,6,6,0,
IR,MIG-3ud,58,58,0,
IR,I-16TYPE18,112,112,0,
IR,I-16TYPE18_2BS,112,112,0,
IR,Yak-1,127,127,0,
IR,I-153P,156,156,0,
IR,I-153_M62,170,170,0,
IR,I-16TYPE24,252,252,0,
IR,DB-3B,32,32,0,
IR,PE-2S1,45,45,0,
IR,SB-2M100A,49,49,0,
IR,SU-2,61,61,0,
IR,DB-3M,98,98,0,
IR,TB-3,109,109,0,
IR,DB-3F,118,118,0,
IR,SB-2M103,211,211,0,
IR,Li-2,79,79,0,

#---Escuadrones rojos

rusfig=1GvIAP,1GvIAP,3IAP,8IAPCHF,26IAPPVO;
rusjab=7IAD_TOF,2GVSAPVMF,59GvShAP;
rusbom=566ShAPb,8GBAP,34GBAP;
rustrp=889NBAP;

### --------------------- AVIONES RUSOS

# IL-2M 1941 1 series: 6
1,rusjab,IL-2M_Early,1,air.IL_2_1940Early,8xRS82,100,500,430:BD,
1,rusjab,IL-2M_Early,1,air.IL_2_1940Early,2xVAP250,100,500,430:AT,

# MIG-3ud standard 1941: 58
1,rusfig,MIG-3ud,1,air.MIG_3UD,default,100,4000,400:EBA,
1,rusfig,MIG-3ud,1,air.MIG_3UD,default,100,2500,310:ESU,
1,rusjab,MIG-3ud,1,air.MIG_3UD,2xBK,100,1000,450:EBD,
1,rusjab,MIG-3ud,1,air.MIG_3UD,2xFAB-100,1000,450,300:ET,
1,rusfig,MIG-3ud,1,air.MIG_3UD,default,100,4000,480:I,

# I-16 Type 18: 112
1,rusfig,I-16TYPE18,1,air.I_16TYPE18,default,100,4000,430:EBA,
1,rusfig,I-16TYPE18,1,air.I_16TYPE18,default,100,2500,310:ESU,
1,rusjab,I-16TYPE18,1,air.I_16TYPE18,2fab100,100,1000,430:EBD,
1,rusjab,I-16TYPE18,1,air.I_16TYPE18,2fab100,100,1000,430:ET,
1,rusfig,I-16TYPE18,1,air.I_16TYPE18,default,100,4000,440:I,

# I-16 Type 18 (2xBS): 112
1,rusfig,I-16TYPE18_2BS,1,air.I_16TYPE18_BS,default,100,4000,430:EBA,
1,rusfig,I-16TYPE18_2BS,1,air.I_16TYPE18_BS,default,100,2500,310:ESU,
1,rusjab,I-16TYPE18_2BS,1,air.I_16TYPE18_BS,6rs82,100,1000,430:EBD,
1,rusjab,I-16TYPE18_2BS,1,air.I_16TYPE18_BS,2xFAB100,100,1000,430:ET,
1,rusfig,I-16TYPE18_2BS,1,air.I_16TYPE18_BS,default,100,4000,440:I,

# YAK-1: 127   
1,rusfig,Yak-1,1,air.YAK_1,default,100,4000,400:EBA,
1,rusfig,Yak-1,1,air.YAK_1,default,100,2500,300:ESU,
1,rusjab,Yak-1,1,air.YAK_1,6rs82,100,1000,300:EBD,
1,rusjab,Yak-1,1,air.YAK_1,2fab100,100,1000,300:ET,
1,rusfig,Yak-1,1,air.YAK_1,default,100,4000,300:I,
#1,rusfig,Yak-1,1,air.YAK_1,default,100,2000,300:RE,

# I-153P: 156
1,rusjab,I-153P,1,air.I_153P,8xRS82,100,500,300:BD,
1,rusjab,I-153P,1,air.I_153P,2xFAB50_2xFAB100,100,500,300:AT,

# I-153 M62: 170
1,rusjab,I-153_M62,1,air.I_153_M62,8xRS82,100,500,300:BD,
1,rusjab,I-153_M62,1,air.I_153_M62,2xFAB50_2xFAB100,100,500,300:AT,

# I-16 Type 24: 252
1,rusfig,I-16TYPE24,1,air.I_16TYPE24,default,100,4000,400:EBA,
1,rusfig,I-16TYPE24,1,air.I_16TYPE24,default,100,2500,310:ESU,
1,rusjab,I-16TYPE24,1,air.I_16TYPE24,6rs82,100,1000,450:EBD,
1,rusjab,I-16TYPE24,1,air.I_16TYPE24,2fab100,100,1000,450:ET,
1,rusfig,I-16TYPE24,1,air.I_16TYPE24,default,100,4000,450:I,

# DB-3B: 32
1,rusbom,DB-3B,1,air.IL_4_DB3B,3fab50010fab50,100,3000,350:BA,

# PE-2 Series 1: 45
1,rusbom,PE-2S1,1,air.PE_2SERIES1,2fab5002fab250,100,3000,380:BA,

# SB-2 M-100A: 49
1,rusbom,SB-2M100A,1,air.SB_2M100A,6xfab100,100,3000,370:BA,

# SU-2: 61
1,rusbom,SU-2,1,air.SU_2,6fab100,100,3000,450:BA,

# DB-3M: 98
1,rusbom,DB-3M,1,air.IL_4_DB3M,3fab50010fab50,100,3000,350:BA,

# TB-3: 109
1,rusbom,TB-3,1,air.TB_3_4M_34R,4fab100014fab50,100,2000,195:BA,

# DB-3F: 118
1,rusbom,DB-3F,1,air.IL_4_DB3F,3fab50010fab50,100,3000,350:BA,

# SB-2 M-103: 211
1,rusbom,SB-2M103,1,air.SB_2M103,2xfab500,100,3000,370:BA,

# LI-2: 79
