##este archivo se arama sacando los class.air  de  FB_aircrafts.data que coniciden con MAPA_planesets.data 
## ademas cada class.air se incorpora. el % es cantidad de aviones cada 1000 o 2000?
## y opcionalmente los escuadrones que lo volaban. - NO IMPLEMENTADO AUN- CHECK
##
# army,internal_code,external_name,human_flyable,class.air,def_weapons,def_fuel,def_alt,def_speed:tasks,%


#---red sqds

rusfig=176IAP,3IAK,7IAP,4IAP;
rusjab=11IAP,7IAP,4IAP;
rusbom=34BAP,40BAP,80BAP;
rustrp=34BAP,40BAP,80BAP;
#---


# I-153 M62 7/300 0/300
#1,rusjab,I-153-M62,1,air.I_153_M62,8xRS82,100,1000,350:BD,7,
#1,rusjab,I-153-M62,1,air.I_153_M62,8xRS82,100,2000,350:BA,7,
#1,rusfig,I-153-M62,1,air.I_153_M62,default,100,2000,350:I,7,
#1,rusjab,I-153-M62,1,air.I_153_M62,8xRS82,100,2000,350:ET,7,


# I-153 P 12/300  8/300
1,rusjab,I-153P,1,air.I_153P,8xRS82,100,1000,350:BD,8,
#1,rusjab,I-153P,1,air.I_153P,8xRS82,100,2000,350:BA,8,
#1,rusfig,I-153P,1,air.I_153P,default,100,2000,350:I,8,
#1,rusjab,I-153P,1,air.I_153P,8xRS82,100,2000,350:ET,8,


# I-16t18   2/300  0/300
#1,rusjab,I-16t18,1,air.I_16TYPE18,2fab100,100,2000,350:BA,2,
#1,rusjab,I-16t18,1,air.I_16TYPE18,2fab100,100,1000,350:BD,2,
#1,rusfig,I-16t18,1,air.I_16TYPE18,default,100,2000,350:EBA,2,
#1,rusfig,I-16t18,1,air.I_16TYPE18,default,100,2000,350:ESU,2,
#1,rusfig,I-16t18,1,air.I_16TYPE18,default,100,2000,350:EBD,2,
#1,rusfig,I-16t18,1,air.I_16TYPE18,default,100,2000,350:ER,2,
#1,rusfig,I-16t18,1,air.I_16TYPE18,default,100,2000,350:I,2,
#1,rusfig,I-16t18,1,air.I_16TYPE18,2fab100,100,2000,350:ET,2,


# I-16t24 29/300 26/300
