#---red sqds

brifig=RAF_No073SQN,RAF_No033SQN,RAF_No043SQN;
brijab=RAF_No065SQN;
bribom=RAF_No073SQN,RAF_No073SQN,RAF_No045SQN;
britrp=RAF_No096SQN;

### --------------------- ALLIED PLANES

#B-24 J
1,bribom,B-24J,1,air.B_24J,default,100,3000,400:BA,500,

#B17-F
1,bribom,B-17F,1,air.B_17F,default,100,3000,400:BA,500,

#HALIFAX MK III
1,bribom,Halifax B-MKIII,1,air.HalifaxBMkIII,default,100,3000,400:BA,500,

#A20-C
1,bribom,A-20C,1,air.A_20C,default,100,3000,400:BA,500,

#Beaufighter
1,bribom,BeaufighterMkI,1,air.BEAUMKI,default,100,3000,400:BA,500,

1,bribom,Mosquito B.MK.IV 1941,1,air.MOSQUITO4,default,100,3000,400:BA,500,

#Blenheim Mk.IV
1,bribom,Blenheim Mk.IV,1,air.BlenheimMkIV,default,100,3000,400:BA,500,

#Blenheim Mk.IF, 1940*
1,britrp,BlenheimMkIF,1,air.BLENHEIM1F,default,100,3000,400:SUM,100,

#Stinson L5
1,britrp,Stinson L51,1,air.L_5,default,100,3000,400:SUM,100,

#hurricane Mk IIb 12/300  0/300
1,brifig,Hurricane-MkIIb,1,air.HurricaneMkIIb,default,100,2500,380:EBA,100,

# P-39N1:  14/300 Pro +  6/300 Kur = 20
1,brifig,P-39N1,1,air.P_39N,default,100,2500,400:EBA,100,

# P40-E 6/300  8/300
1,brifig,P-40E,1,air.P_40E,default,100,3000,400:EBA,100,
1,brifig,P-40E,1,air.P_40E,default,100,3000,400:ESU,100,
1,brifig,P-40E,1,air.P_40E,default,100,3000,400:EBD,100,
1,brifig,P-40E,1,air.P_40E,default,100,3000,400:ER,100,
1,brifig,P-40E,1,air.P_40E,default,100,3000,400:I,100,
1,brifig,P-40E,1,air.P_40E,default,100,3000,400:ET,100,

# Spitfire LF Vc(2) trop CW,1942
1,brifig,Spitfire LF Vc2 trop,1,air.SPITFIRE5C2LFCLP,default,100,3000,400:EBA,21,
1,brifig,Spitfire LF Vc2 trop,1,air.SPITFIRE5C2LFCLP,default,100,3000,400:ESU,21,
1,brifig,Spitfire LF Vc2 trop,1,air.SPITFIRE5C2LFCLP,default,100,3000,400:EBD,21,
1,brifig,Spitfire LF Vc2 trop,1,air.SPITFIRE5C2LFCLP,default,100,3000,400:ER,21,
1,brifig,Spitfire LF Vc2 trop,1,air.SPITFIRE5C2LFCLP,default,100,3000,400:I,21,

#P-51C-NT, 1943
#1,brifig,P-51C-NT,1,air.P_51C,default,100,3000,400:EBA,21,
#1,brifig,P-51C-NT,1,air.P_51C,default,100,3000,400:ESU,21,
#1,brifig,P-51C-NT,1,air.P_51C,default,100,3000,400:I,21,
#1,brifig,P-51C-NT,1,air.P_51C,default,100,3000,400:ER,21,


#-------------------BLUE Sqads
gerfig=I_JG3,II_JG3,I_JG27,II_JG27,III_JG27,Stab_JG52,I_JG5_2,II_JG5_2,III_JG5_2;
gerjab=I_LG2,III_KG27a;
gerbom=Stab_KG27a,I_KG27a,II_KG27a,III_KG27a,Stab_KG51a,I_KG51a,II_KG51a,III_KG51a,Stab_KG53a,I_KG53a,II_KG53a,III_KG53a,Stab_KG55a;
gertrp=KGrzbV102a;
romfig=Eskadrila54,Eskadrila56;
romjab=Eskadrila54,Eskadrila56;
rombom=Eskadrila54,Eskadrila56;
hunfig=5_1_FighterH,hu101VOhu,hu102VOhu;
hunjab=5_1_FighterH,hu101VOhu,hu102VOhu;
hunbom=hu2-4hu,hu3-5hu;
  
### --------------------- GERMAN PLANES
#HS-129-B2
2,gerbom,HS_129B2,1,air.HS_129B2,default,50,2000,380:BD,50,	

#FW_190A3
2,gerbom,FW-190A3,1,air.FW_190A3,default,50,2000,380:BD,50,	

#Heavy Bombers
#JU_88A4 BA 50
2,gerbom,JU_88A4Tropical,1,air.JU_88A4,default,100,4000,350:BA,50,

#SM79 BA 50
